Tag;Dauer
07.01.21;0,083414352
11.01.21;0,107256944
12.01.21;0,265671296
13.01.21;0,052083333
14.01.21;0,250069444
17.01.21;0,129189815
18.01.21;0,101134259
19.01.21;0,25
20.01.21;0,104166667
21.01.21;0,135428241
25.01.21;0,083402778
26.01.21;0,09900463
27.01.21;0,052083333
28.01.21;0,342372685
01.02.21;0,145856481
02.02.21;0,145833333
03.02.21;0,145844907
04.02.21;0,208391204
05.02.21;0,052083333
07.02.21;0,250011574
08.02.21;0,125034722
10.02.21;0,125011574
11.02.21;0,11875
13.02.21;0,041689815
14.02.21;0,124814815
15.02.21;0,130451389
19.02.21;0,068078704
20.02.21;0,125034722
22.02.21;0,166261574
23.02.21;0,181099537
24.02.21;0,052083333
25.02.21;0,052083333
26.02.21;0,09375
27.02.21;0,166678241
28.02.21;0,047071759
01.03.21;0,177210648
05.03.21;0,052083333
07.03.21;0,062511574
08.03.21;0,208136574
09.03.21;0,209722222
10.03.21;0,181435185
11.03.21;0,104189815
12.03.21;0,041678241
14.03.21;0,083356481
15.03.21;0,041701389
16.03.21;0,270925926
17.03.21;0,20837963
18.03.21;0,083344907
19.03.21;0,092395833
21.03.21;0,082766204
22.03.21;0,197928241
23.03.21;0,052083333
24.03.21;0,083333333
25.03.21;0,168854167
26.03.21;0,041134259
01.04.21;0,06275463
05.04.21;0,083402778
06.04.21;0,218761574
07.04.21;0,173900463
08.04.21;0,09380787
09.04.21;0,113888889
11.04.21;0,052083333
12.04.21;0,125115741
13.04.21;0,312523148
14.04.21;0,125011574
15.04.21;0,208368056
16.04.21;0,354212963
17.04.21;0,10119213
18.04.21;0,185034722
19.04.21;0,062511574
20.04.21;0,250081019
21.04.21;0,083344907
26.04.21;0,062523148
28.04.21;0,083356481
30.04.21;0,041678241
01.05.21;0,083368056
02.05.21;0,03119213
03.05.21;0,104618056
04.05.21;0,166666667
05.05.21;0,150972222
06.05.21;0,041712963
07.05.21;0,249479167
08.05.21;0,207083333
09.05.21;0,015729167
10.05.21;0,104189815
14.05.21;0,083449074
15.05.21;0,093761574
16.05.21;0,052083333
19.05.21;0,083333333
24.05.21;0,124826389
26.05.21;0,124444444
28.05.21;0,250023148
