Fach;LV;Beschreibung;Start date;Start time;End date;End time;Duration;Tags;Studienphase;Semester
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;26.02.19;19:39:39;26.02.19;20:41:42;1:02:03;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;Prüfung geschrieben;27.02.19;12:00:42;27.02.19;13:30:53;1:30:11;Prüfungsvorbereitung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;27.02.19;15:30:13;27.02.19;16:30:14;1:00:01;Prüfungsvorbereitung;CBK;WS2018
;Vorbereitung, Planung, Organisation;2. Semester vorbereitet;04.03.19;08:00:47;04.03.19;14:00:49;6:00:02;;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung besucht;05.03.19;14:00:52;05.03.19;18:15:55;4:15:03;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung besucht;06.03.19;14:00:30;06.03.19;17:00:30;3:00:00;Vorlesung;CBK;SS2019
STATMATH;Statistik;Vorlesung besucht;06.03.19;08:00:00;06.03.19;10:30:02;2:30:02;Vorlesung;CBK;SS2019
;Vorbereitung, Planung, Organisation;2. Semester vorbereitet;06.03.19;10:30:00;06.03.19;12:00:49;1:30:49;;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung nachbereitet;06.03.19;12:04:55;06.03.19;13:30:55;1:26:00;Nachbereitung;CBK;SS2019
English Business Communication;English Business Communication 1;PI besucht;11.03.19;14:00:00;11.03.19;16:30:49;2:30:49;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung besucht;12.03.19;14:00:02;12.03.19;16:30:02;2:30:00;Vorlesung;CBK;SS2019
STATMATH;Statistik;Vorlesung besucht;13.03.19;08:00:19;13.03.19;10:30:19;2:30:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;13.03.19;15:06:12;13.03.19;16:21:12;1:15:00;Nachbereitung;CBK;SS2019
;Vorbereitung, Planung, Organisation;2. Semester vorbereitet;13.03.19;20:25:58;13.03.19;21:00:00;0:34:02;;CBK;SS2019
English Business Communication;English Business Communication 1;Vorbereitung;14.03.19;09:30:00;14.03.19;13:30:56;4:00:56;Vorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung besucht;14.03.19;14:00:00;14.03.19;17:00:16;3:00:16;Vorlesung;CBK;SS2019
English Business Communication;English Business Communication 1;PI besucht;15.03.19;08:30:16;15.03.19;10:30:16;2:00:00;Vorlesung;CBK;SS2019
English Business Communication;English Business Communication 1;Vorbereitung;15.03.19;12:00:16;15.03.19;12:30:16;0:30:00;Vorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;18.03.19;11:40:01;18.03.19;13:31:00;1:50:59;Nachbereitung;CBK;SS2019
BWL;Accounting & Management Control I;;19.03.19;14:00:00;19.03.19;17:00:00;3:00:00;Vorlesung;CBK;SS2019
